ReviewerName,Description
SRI RAM GOPAL Naraharisetty,"It did not work at all. I bought it and did not use it immediately as I have to travel.Once I came back i opened it is not working. I kept a new battery but no use.I couldn't return the item as 8 days is over. And Amazon did not take responsibility. My money got wasted.Product, did not work at all after opening. Their quality control failed."
Leelamani,"I bougth this product from amazon.The packaging a way below average.But when I used it , it seemed fairly decent.IT makes clicking noises .....which if its a problem for you then do not even think of buying this product.... I dont mind the noise so that was not a issue for me.OVERALLif you dont mind the packaging and can live with clicking noises then you should go for it.Becoz (personally) I am not at all having any issue with this mouse and nor am I regretting buying it."
Anish,"Works perfectly fine. Is very good. Has an invisible optic ray, not the red one so that's another nice thing. No annoying red light at the bottom. Looks great, aesthetically pleasing (shape and colour wise) and ergonomic, feels good in hand. Use it for long hours drafting on AutoCAD. (I am an architecture student :p)"
aleena,"Deliverd today(16/06/20)Since i order a big basket thisbcame with it, pacakging as if we buy from a shop, comes with a batter, inserted inside the mouse-you have a tag just needs to pull it out. started using it with my laptop, first review it good. Will be updating after a month. About the battery and product."
Vicky,"Very ergonomic design but the dpi is not adjustable so it is not for gamingBest for office useGripping is very good hold of mouse is Excellent.Dont buy it for gaming but buy for office use and personal home useI USE them with my cctv camera, with  my Samsung TV and with my laptop while watching movies on bed.It's range is Excellent"
Janani kalanidhi,"exactly one year, this mouse stop working. this model is not good, dont go for it. i bought again M235  let see how good its, comfort wise M235 is far better than this model."
Narendra Gajala,"It's smooth like silk.  The packaging is great.  One very neat feature is that the wireless signal receiver when not in use can be tucked away inside a tiny slot within the mouse so, you don't loose it.  At this price what I received is pretty good in terms of built quality.  The device is shaped very ergonomically - feels good in hand.  Just plug it and play.  Very Logitechy :)"
Kindle Customer,Writing this review after 6 months of usage. I am using this for macbook pro with external dongle to attach the usb. You have to keep the usb dongle too close to the mouse else you will feel the lag or sometime it won't even work at all. If you are keeping the mouse too close to the usb then it will do the job as expected
Prashant,The mouse is super durable. Plastic quality is good and it soon gets connected when you on the laptop.  For weeks the mouse is on with laptop in sleep mode but it immediately responds when laptop or MacBook is active. Doesn’t consumes much of battery and it is usable on any surface including glass as well.
Ebrahim Ezzy,"Short and simple: It's a good buy, worth the price.The mouse is good enough to hold, even for big hands. Weight is not a problem.No perceivable lag, good buttons.Has an invisible(infrared) laser so better at night compared to regular red laser mice.You'll have to manually turn it off with the designated switch everytime, no auto off feature.All in all a good mouse if you're looking for a wireless option that is not too expensive, not too cheap."
